drug,disease,target,association_score,max_phase,action_type,priority_score
TRASTUZUMAB EMTANSINE,Chagas disease,TUBA1B,0.07520950042833682,4.0,INHIBITOR,63.0
BRENTUXIMAB VEDOTIN,Chagas disease,TUBA1B,0.07520950042833682,4.0,INHIBITOR,63.0
PACLITAXEL,Chagas disease,TUBA1B,0.07520950042833682,4.0,INHIBITOR,63.0
DOCETAXEL,Chagas disease,TUBA1B,0.07520950042833682,4.0,INHIBITOR,63.0
ERIBULIN MESYLATE,Chagas disease,TUBA1B,0.07520950042833682,4.0,INHIBITOR,63.0
CABAZITAXEL,Chagas disease,TUBA1B,0.07520950042833682,4.0,INHIBITOR,63.0
COLCHICINE,Chagas disease,TUBA1B,0.07520950042833682,4.0,INHIBITOR,63.0
IXABEPILONE,Chagas disease,TUBA1B,0.07520950042833682,4.0,INHIBITOR,63.0
VINCRISTINE SULFATE,Chagas disease,TUBA1B,0.07520950042833682,4.0,INHIBITOR,63.0
VINORELBINE TARTRATE,Chagas disease,TUBA1B,0.07520950042833682,4.0,INHIBITOR,63.0
VINBLASTINE SULFATE,Chagas disease,TUBA1B,0.07520950042833682,4.0,INHIBITOR,63.0
VINFLUNINE,Chagas disease,TUBA1B,0.07520950042833682,4.0,INHIBITOR,63.0
MIRVETUXIMAB SORAVTANSINE,Chagas disease,TUBA1B,0.07520950042833682,4.0,INHIBITOR,63.0
POLATUZUMAB VEDOTIN,Chagas disease,TUBA1B,0.07520950042833682,4.0,INHIBITOR,63.0
PACLITAXEL POLIGLUMEX,Chagas disease,TUBA1B,0.07520950042833682,3.0,STABILISER,48.0
PLINABULIN,Chagas disease,TUBA1B,0.07520950042833682,3.0,INHIBITOR,48.0
FRESOLIMUMAB,Chagas disease,TGFB1,0.0885058615966489,2.0,INHIBITOR,33.5
METELIMUMAB,Chagas disease,TGFB1,0.0885058615966489,2.0,INHIBITOR,33.5
LY-2382770,Chagas disease,TGFB1,0.0885058615966489,2.0,INHIBITOR,33.5
INDIBULIN,Chagas disease,TUBA1B,0.07520950042833682,2.0,INHIBITOR,33.0
DAVUNETIDE,Chagas disease,TUBA1B,0.07520950042833682,2.0,STABILISER,33.0
CROLIBULIN,Chagas disease,TUBA1B,0.07520950042833682,2.0,INHIBITOR,33.0
LEXIBULIN,Chagas disease,TUBA1B,0.07520950042833682,2.0,INHIBITOR,33.0
FOSBRETABULIN DISODIUM,Chagas disease,TUBA1B,0.07520950042833682,2.0,INHIBITOR,33.0
FOSBRETABULIN TROMETHAMINE,Chagas disease,TUBA1B,0.07520950042833682,2.0,DISRUPTING AGENT,33.0
SAGOPILONE,Chagas disease,TUBA1B,0.07520950042833682,2.0,STABILISER,33.0
VERUBULIN,Chagas disease,TUBA1B,0.07520950042833682,2.0,DISRUPTING AGENT,33.0
RG-7841,Chagas disease,TUBA1B,0.07520950042833682,1.0,INHIBITOR,18.0
