drug,disease,target,association_score,max_phase,action_type,priority_score,boxed_warning,contraindications,serious_ae_reports,disease_trial_count,disease_max_trial_phase,disease_trial_has_results,pubmed_result_count,disease_burden_estimate,storage_requires_cold_chain,patent_status,eml_listed,resistance_notes,manufacturing_notes
PAZOPANIB HYDROCHLORIDE,Scabies,FLG,0.6790696224956302,4.0,INHIBITOR,87.2,True,4 CONTRAINDICATIONS None. None. ( 4 ),102,0,0,False,0,,False,,,,
REGORAFENIB,Scabies,FLG,0.6790696224956302,4.0,INHIBITOR,87.2,True,4 CONTRAINDICATIONS None. None.,1998,0,0,False,0,,False,,,,
PEMIGATINIB,Scabies,FLG,0.6790696224956302,4.0,INHIBITOR,87.2,False,4 CONTRAINDICATIONS None. None. ( 4 ),90,0,0,False,0,,False,,,,
PROTEIN S HUMAN,Dengue,PROS1,0.5132923560491462,4.0,EXOGENOUS PROTEIN,80.5,,,1,2,1,True,0,,,,,,
PREDNISONE,Scabies,NR3C1,0.4953396663482461,4.0,AGONIST,79.8,False,CONTRAINDICATIONS Systemic fungal infections and known hypersensitivity to components.,418606,0,0,False,11,,False,,,,
HALCINONIDE,Scabies,NR3C1,0.4953396663482461,4.0,AGONIST,79.8,False,CONTRAINDICATIONS Topical corticosteroids are contraindicated in those patients with a history of hypersensitivity to any of the components of the preparations.,23,0,0,False,0,,False,,,,
MEDRYSONE,Scabies,NR3C1,0.4953396663482461,4.0,AGONIST,79.8,,,,0,0,False,0,,,,,,
DIFLUPREDNATE,Scabies,NR3C1,0.4953396663482461,4.0,AGONIST,79.8,False,"4 CONTRAINDICATIONS The use of difluprednate ophthalmic emulsion, as with other ophthalmic corticosteroids, is contraindicated in most active viral diseases of the cornea and conjunctiva, including epithelial herpes simplex keratitis (dendritic keratitis), vaccinia, and varicella, and also in mycobacterial infection of the eye and fungal disease of ocular structures. Difluprednate ophthalmic emuls",823,0,0,False,0,,False,,,,
BETAMETHASONE,Scabies,NR3C1,0.4953396663482461,4.0,AGONIST,79.8,False,"4 CONTRAINDICATIONS Betamethasone dipropionate cream (augmented), is contraindicated in patients who are hypersensitive to betamethasone dipropionate, to other corticosteroids, or to any ingredient in this preparation. Hypersensitivity to any component of this medicine. ( 4 )",26676,0,0,False,1,,True,,,,
HYDROCORTISONE,Scabies,NR3C1,0.4953396663482461,4.0,AGONIST,79.8,False,,68468,0,0,False,4,,False,,,,
TRIAMCINOLONE ACETONIDE,Scabies,NR3C1,0.4953396663482461,4.0,AGONIST,79.8,False,CONTRAINDICATIONS Topical corticosteroids are contraindicated in those patients with a history of hypersensitivity to any of the components of the preparation.,13496,0,0,False,1,,False,,,,
HYDROCORTISONE CYPIONATE,Scabies,NR3C1,0.4953396663482461,4.0,AGONIST,79.8,,,6,0,0,False,0,,,,,,
